id,user_id,phone
1,1,79488269828
2,1,79263699829
3,2,79461663344
4,3,79758259265
5,4,79614625154
6,4,79287466687
7,4,79903488980
8,5,79767364988
9,5,79276546543
10,5,79773098159
11,6,79523470420
12,7,79694430860
13,7,79319327305
14,8,79668405864
15,8,79466500066
16,8,79612184444
17,9,79665147850
18,9,79870944443
19,9,79290023720
20,10,79666895953
21,10,79424721941
22,11,79638533234
23,11,79608494376
24,11,79129100085
25,12,79855658073
26,13,79612829512
27,13,79547420142
28,13,79368191294
29,14,79259959110
30,14,79527204390
31,14,79888227535
32,15,79973414601
33,15,79600423510
34,15,79447152784
35,16,79638613274
36,16,79994823295
37,17,79400188687
38,17,79449866424
39,18,79350094482
40,18,79721160744
41,18,79377214193
42,19,79210245750
43,20,79187239557
44,21,79991249561
45,21,79586284517
46,21,79813038044
47,22,79144570386
48,23,79848640964
49,23,79465715826
50,24,79921695758
51,25,79356889994
52,26,79919703491
53,26,79721748295
54,26,79592073798
55,27,79898636245
56,28,79384698190
57,28,79770075982
58,29,79665397345
59,29,79160209691
60,29,79656913502
61,30,79726127578
62,30,79596403573
63,30,79533445028
64,31,79412569903
65,31,79697275044
66,31,79313679540
67,32,79562630386
68,32,79286056546
69,33,79309744161
70,34,79355526930
71,34,79125726971
72,34,79689890417
73,35,79560712619
74,36,79834471773
75,37,79764057693
76,37,79322375391
77,37,79990541808
78,38,79525514664
79,38,79502302810
80,38,79840677367
81,39,79908314205
82,40,79996163646
83,40,79337965005
84,40,79446082699
85,41,79819814785
86,41,79986010060
87,42,79172703117
88,42,79993219282
89,43,79201332060
90,43,79661130993
91,43,79770641406
92,44,79291488921
93,44,79364275582
94,45,79929049866
95,46,79205467629
96,46,79417812335
97,46,79696452882
98,47,79702882352
99,47,79221396930
100,48,79438422658
101,48,79877574023
102,49,79308091520
103,49,79633912538
104,50,79780025552
